id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,is_final
1771,Northern Ireland,Romania,1,2,Romania,,Preliminary round,Lome,1986,False
1772,Norway,Ireland,0,0,draw,,Preliminary round,Port_of_Spain,1986,False
1773,Norway,Switzerland,2,0,Norway,,Preliminary round,Tunis,1986,False
1774,Norway,USSR,1,0,Norway,,Preliminary round,San_Fernando,1986,False
1775,Panama,Honduras,1,3,Honduras,,Preliminary round,Izmir,1986,False
1776,Poland,Albania,0,0,draw,,Preliminary round,Fort Lauderdale,1986,False
1777,Poland,Greece,2,1,Poland,,Preliminary round,Fort Lauderdale,1986,False
1778,Portugal,Czechoslovakia,1,0,Portugal,,Preliminary round,Cardiff,1986,False
1779,Portugal,Sweden,4,0,Portugal,,Preliminary round,Cardiff,1986,False
1780,Puerto Rico,El Salvador,2,1,Puerto Rico,,Preliminary round,Ljubljana,1986,False
1781,Scotland,Iceland,3,2,Scotland,,Preliminary round,Kinshasa,1986,False
1782,Scotland,Spain,5,2,Scotland,,Preliminary round,Kinshasa,1986,False
1783,Senegal,Angola,4,0,Senegal,,Preliminary round,Ndola,1986,False
1784,Sierra Leone,Morocco,2,0,Sierra Leone,,Preliminary round,Lusaka,1986,False
1785,South Korea,Bulgaria,1,2,Bulgaria,,Preliminary round,Port-au-Prince,1986,False
1786,South Korea,Italy,1,0,South Korea,,Preliminary round,Tegucigalpa,1986,False
1787,Spain,Wales,1,0,Spain,,Preliminary round,Harare,1986,False
1788,Sudan,Tanzania,0,2,Tanzania,,Preliminary round,Tirane,1986,False
1789,Surinam,Guyana,0,2,Guyana,,Preliminary round,Tirane,1986,False
1790,Sweden,Malta,4,0,Sweden,,Preliminary round,Constantine,1986,False
1791,Sweden,Portugal,2,1,Sweden,,Preliminary round,Constantine,1986,False
1792,Switzerland,Denmark,10,0,Switzerland,,Preliminary round,Melbourne,1986,False
1793,Tanzania,Sudan,2,0,Tanzania,,Preliminary round,Melbourne,1986,False
