id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1457,119,4,0
1458,195,2,3
1459,54,0,0
1460,13,2,2
1461,21,1,0
1462,211,1,2
1463,158,0,0
1464,67,1,10
1465,35,0,0
1466,142,2,5
1467,76,1,3
1468,92,1,1
1469,14,1,0
1470,109,1,1
1471,148,0,0
1472,94,1,4
1473,174,1,4
1474,156,1,1
1475,67,0,1
1476,35,0,0
1477,142,0,3
1478,54,0,2
1479,225,1,2
1480,14,2,0
1481,109,1,4
1482,148,1,1
1483,94,1,1
1484,156,1,5
1485,174,2,2
1486,67,0,2
1487,142,0,4
1488,35,1,1
1489,41,2,3
1490,54,1,1
1491,225,1,0
1492,109,0,1
1493,189,0,1
1494,76,1,0
1495,21,0,3
1496,10,1,2
1497,148,2,2
1498,211,1,0
1499,28,3,1
1500,148,1,4
1501,211,0,0
1502,28,2,3
1503,68,0,0
1504,103,2,0
1505,76,2,3
1506,142,0,6
1507,3,1,2
1508,14,0,0
1509,41,0,0
1510,68,0,2
1511,76,0,2
1512,189,0,3
1513,81,1,3
1514,21,1,1
1515,175,0,0
1516,91,1,2
1517,140,2,0
1518,2,5,0
1519,205,1,1
1520,119,1,1
1521,79,1,0
1522,14,2,0
1523,94,1,1
1524,140,1,5
1525,127,0,0
1526,100,0,2
1527,149,2,1
1528,215,0,0
1529,227,1,0
1530,160,1,1
1531,75,0,2
1532,108,0,1
1533,148,0,3
1534,31,1,1
1535,77,1,1
1536,225,3,1
1537,48,2,0
1538,194,0,3
1539,21,2,0
1540,192,0,3
1541,9,0,1
1542,153,1,2
1543,14,0,0
1544,222,1,0
1545,211,2,2
1546,72,1,0
1547,145,1,1
1548,76,0,5
1549,77,1,1
1550,129,0,0
1551,81,0,4
1552,123,1,1
1553,179,1,0
1554,94,2,1
1555,115,0,5
1556,75,2,0
1557,163,2,1
1558,100,0,0
1559,195,0,2
1560,211,0,1
1561,92,3,1
1562,2,0,0
1563,83,1,2
1564,54,0,1
1565,194,0,4
1566,67,1,2
1567,95,2,3
1568,189,2,5
1569,6,0,4
1570,135,0,2
1571,222,0,1
1572,200,2,0
1573,90,2,0
1574,127,0,4
1575,159,1,2
1576,57,0,10
1577,191,0,2
1578,23,2,0
1579,68,2,3
1580,75,0,2
1581,226,1,5
1582,61,3,1
1583,95,1,0
1584,31,2,3
1585,212,0,2
1586,66,0,1
1587,41,1,3
1588,57,2,1
1589,25,0,1
1590,28,1,4
1591,83,2,1
1592,158,0,3
1593,6,1,3
1594,205,0,5
1595,226,0,0
1596,3,0,4
1597,43,1,2
1598,156,1,6
1599,220,0,1
1600,102,1,1
1601,142,0,2
1602,174,0,3
1603,198,0,3
1604,52,0,0
1605,94,0,2
1606,188,1,1
1607,196,1,1
1608,96,2,2
1609,97,0,0
1610,201,1,0
1611,83,1,6
1612,140,1,1
1613,158,0,2
1614,28,1,3
1615,155,2,1
1616,25,0,0
1617,155,0,1
1618,42,0,0
1619,93,0,1
1620,120,0,1
1621,76,0,0
1622,77,0,8
1623,225,0,2
1624,226,0,4
1625,47,1,7
1626,86,4,1
1627,91,0,0
1628,92,4,0
1629,65,1,2
1630,155,1,2
1631,156,4,0
1632,217,2,3
1633,30,0,4
1634,93,0,2
1635,120,1,5
1636,10,3,2
1637,155,3,2
1638,156,0,2
1639,220,2,1
1640,36,1,1
1641,92,2,0
1642,204,1,1
1643,215,1,2
1644,82,2,1
1645,81,0,2
